龙肝麟脯	lóng gān lín fǔ
心满原足	xīn  mǎn  yuán  zú
心怀忐忑	xīn  huái  tǎn  tè
心甘情原	xīn  gān  qíng  yuán
心病还须心药医	xīn  bìng  hái  xū  xīn  yào  yī
鞋弓襪小	xié  gōng  wà  xiǎo
鞋弓襪浅	xié  gōng  wà  qiǎn
胁肩絫足	xié  jiān  lèi  zú
协私罔上	xié  sī  wǎng  shàng
啸咤风云	xiào  zhà  fēng  yún
啸吒风云	xiào  zhà  fēng  yún
嚣张一时	xiāo  zhāng  yī  shí
霄鱼垂化	xiāo  yú  chuí  huà
鸮心鸝舌	xiāo  xīn  lí  shé
像形夺名	xiàng  xíng  duó  míng
象耕鸟耘	xiàng  gēng  niǎo  yún
向平之原	xiàng  píng  zhī  yuán
想望风褱	xiǎng  wàng  fēng  shèng
详情度理	xiáng  qíng  dù  lǐ
香药脆梅	xiāng  yào  cuì  méi
香火姻缘	xiāng  huǒ  yīn  yuán
相与为一	xiāng  yǔ  wéi  yī
相去悬殊	xiāng  qù  xuán  shū
相安相受	xiāng  ān  xiāng  shòu
乡书难寄	xiāng  shū  nán  jì
陷落计中	xiàn  luò  jì  zhōng
现钟弗打	xiàn  zhōng  fú  dǎ
现钟不打	xiàn  zhōng  bù  dǎ
衔玉贾石	xián  yù  jiǎ  shí
挦章撦句	lóng  zhāng  zōng  jù
闲见层出	xián  jiàn  céng  chū
闲花埜草	xián  huā  yě  cǎo
纤介之失	xiān  jiè  zhī  shī
先小人，后君子	xiān  xiǎo  rén，hòu  jūn  zǐ
先悉必具	xiān  xī  bì  jù
夏虫不可以语冰	xià  chóng  bù  kě  yǐ  yǔ  bīng
下乔木入幽谷	xià  qiáo  mù  rù  yōu  gǔ
下回分解	xià  huí  fēn  jiě
下阪走丸	xià  bǎn  zǒu  wán
霞姿月韵	xiá  zī  yuè  yùn
遐尔闻名	xiá  ěr  wén  míng
柙虎樊熊	xiá  hǔ  fán  xióng
呷醋节帅	xiā  cù  jié  shuài
戏彩娱亲	xì  cǎi  yú  qīn
喜溢眉梢	xǐ  yì  méi  shāo
喜行于色	xǐ  xíng  yú  sè
洗垢匿瑕	xǐ  gòu  nì  xiá
袭故蹈常	xí  gù  dǎo  cháng
习故安常	xí  gù  ān  cháng
析辨诡词	xī  biàn  guǐ  cí
物阜民丰	wù  fù  mín  fēng
勿怠勿忘	wù  dài  wù  wàng
碔砆混玉	zhì  fū  hùn  yù
武断专横	wǔ  duàn  zhuān  héng
五蕴皆空	wǔ  yùn  jiē  kōng
五月飞霜	wǔ  yuè  fēi  shuāng
五体投诚	wǔ  tǐ  tóu  chéng
五色相宣	wǔ  sè  xiāng  xuān
五男二女	wǔ  nán  èr  nǚ
五花杀马	wǔ  huā  shā  mǎ
梧桐一叶落	wú  tóng  yī  yè  luò
梧桐断角	wú  tóng  duàn  jiǎo
吾家千里驹	wú  jiā  qiān  lǐ  jū
吾自有处	wu  zi  you  chu
无源之水，无本之末	wú  yuán  zhī  shuǐ，wú  běn  zhī  mò
无衣之赋	wú  yī  zhī  fù
无相无作	wú  xiāng  wú  zuò
无適无莫	wú  dí  wú  mò
无伤无臭	wú  shēng  wú  xiù
无名火气	wú  míng  huǒ  qì
无可柰何	wú  kě  nài  hé
无噍类矣	wú  jiào  lèi  yǐ
无罣无碍	wú  guà  wú  ài
无动为大	wú  dòng  wéi  dà
无待蓍龟	wú  dài  shī  guī
无背无侧	wú  bèi  wú  cè
无般不识	wú  bān  bù  shí
无寇暴死	wu  kou  bào  shi
呜呼噫嘻	wū  hū  yī  xī
乌头白马生角	wū  tóu  bái  mǎ  shēng  jiǎo
握雾拏云	wò  wù  ná  yún
握发吐飧	wò  fā  tǔ  sūn
卧榻鼾睡	wò  tà  hān  shuì
捰袖揎拳	luò  xiù  xuān  quán
蜗舍荆扉	wo  she  jing  fei
问鼎中原	wèn  dǐng  zhōng  yuán
问鼎轻重	wèn  dǐng  qīng  zhòng
闻融敦厚	wén  róng  dūn  hòu
文子文孙	wén  zǐ  wén  sūn
文章钜公	wén  zhāng  jù  gōng
文圆质方	wén  yuán  zhì  fāng
文献之家	wén  xiàn  zhī  jiā
文身翦发	wén  shēn  jiǎn  fā
文期酒会	wén  qī  jiǔ  huì
文理俱惬	wén  lǐ  jù  qiè
文籍先生	wén  jí  xiān  shēng
文觌武匿	wén  dí  wǔ  nì
慰情胜无	wèi  qíng  shèng  wú
谓予不信	wèi  yú  bù  xìn
萎糜不振	wěi  mí  bù  zhèn
委罪于人	wěi  zuì  yú  rén
委过于人	wěi  guò  yú  rén
惟肖惟妙	wéi  xiāo  wéi  miào
唯唯否否	wěi  wěi  fǒu  fǒu
唯力是视	wéi  lì  shì  shì
韦裤布被	wéi  kù  bù  bèi
微机四伏	wēi  jī  sì  fú
威望素着	wēi  wàng  sù  zhù
威风祥麟	wēi  fēng  xiáng  lín
危言覈论	wēi  yán  hé  lùn
危迫利诱	wēi  pò  lì  yòu
危急存亡之秋	wēi  jí  cún  wáng  zhī  qiū
望影揣情	wàng  yǐng  chuāi  qíng
妄尘而拜	wàng  chén  ér  bài
罔极之恩	wǎng  jí  zhī  ēn
枉直同贯	wǎng  zhí  tóng  guàn
枉物难消	wǎng  wù  nán  xiāo
枉曲直凑	wǎng  qǔ  zhí  còu
往渚还汀	wǎng  zhǔ  huán  tīng
往返徒劳	wǎng  fǎn  tú  láo
亡羊之叹	wáng  yáng  zhī  tàn
亡可奈何	wáng  kě  nài  hé
亡不待夕	wáng  bù  dài  xī
万物之灵	wàn  wù  zhī  líng
万世不易	wàn  shì  bù  yì
万流景仰	wàn  liú  jǐng  yǎng
万里无云	wàn  lǐ  wú  yún
万赖无声	wàn  lài  wú  shēng
万赖俱寂	wàn  lài  jù  jì
万恨千愁	wàn  hèn  qiān  chóu
宛转蛾眉	wǎn  zhuǎn  é  méi
纨袴膏粱	wán  kù  gāo  liáng
歪不横楞	wāi  bù  héng  léng
歪八竖八	wāi  bā  shù  bā
瓦玉集糅	wǎ  yù  jí  róu
瓦影之鱼	wǎ  yǐng  huā  yú
跅弢不羁	tuò  tāo  bù  jī
跅幪不羁	tuò  méng  bù  jī
妥首帖耳	tuǒ  shǒu  tiē  ěr
讬孤寄命	xíng  gū  jì  mìng
屯蹶否塞	tún  juě  fǒu  sāi
吞符翕景	tūn  fú  xī  jǐng
褪后趋前	tuì  hòu  qū  qián
退食从容	tuì  shí  cóng  róng
退让贤路	tuì  ràng  xián  lù
退旅进旅	tuì  lǚ  jìn  lǚ
退步抽身	tui  bu  chou  sheng
团花簇锦	tuán  huā  cù  jǐn
兔死凫举	tǔ  sǐ  fú  jǔ
兔头麞脑	tù  tóu  suō  nǎo
土穰细流	tǔ  rǎng  xì  liú
瘏口哓音	tú  kǒu  xiāo  yīn
徒讬空言	tú  tún  kōng  yán
头足倒置	tóu  zú  dào  zhì
偷狗戏鸡	tōu  gǒu  xì  jī
痛剿穷迫	tòng  jiǎo  qióng  pò
铜臭熏天	tóng  chòu  xūn  tiān
同浴讥裸	tóng  yù  jī  luǒ
同生死，共存亡	tóng  shēng  sǐ，gòng  cún  wáng
同类相妒	tóng  lèi  xiāng  dù
通达谙练	tōng  dá  ān  liàn
铁绰铜琶	tiě  chuō  tóng  pá
铁笔无私	tiě  bǐ  wú  sī
条三窝四	tiáo  sān  wō  sì
挑么挑六	tiāo  yāo  tiāo  liù
天外飞来	tiān  wài  fēi  lái
天随人原	tiān  suí  rén  yuán
天清气朗	tiān  qīng  qì  lǎng
天命攸归	tiān  mìng  yōu  guī
天从人原	tiān  cóng  rén  yuán
逷听远闻	tì  tīng  yuǎn  wén
涕泗滂沲	tì  sì  pāng  tuó
涕泗流涟	tì  sì  liú  lián
鶗鴂雕卉	tí  jué  diāo  huì
蹄闲三寻	tí  xián  sān  xún
蹄閒三寻	tí  jiàn  sān  xún
剔抽秃揣	tī  chōu  tū  chuǎi
剔抽禿刷	tī  chōu  tū  shuā
腾腾兀兀	téng  téng  wū  wū
忑忑忐忐	tè  tè  tǎn  tǎn
陶熔鼓铸	táo  róng  gǔ  zhù
唐虞之治	táng  yú  zhī  zhì
探口而出	tàn  kǒu  ér  chū
探观止矣	tàn  guān  zhǐ  yǐ
叹观止矣	tàn  guān  zhǐ  yǐ
忐忐忑忑	tǎn  tǎn  tè  tè
摊书拥百城	tān  shū  yōng  bǎi  chéng
摊书傲百城	tān  shū  ào  bǎi  chéng
贪脏枉法	tān  zāng  wǎng  fǎ
贪惏无餍	tān  lín  wú  yàn
贪夫狥利	tān  fū  yě  lì
贪夫狥财	tān  fū  huái  cái
遂迷不窹	suí  méi  bù  wù
似箭在弦	sì  jiàn  zài  xián
伺瑕抵蠙	sì  xiá  dǐ  pín
伺瑕导蠙	sì  xiá  dǎo  pín
四姻九戚	sì  yīn  jiǔ  qī
四衢八街	sì  qú  bā  jiē
四海昇平	sì  hǎi  shēng  píng
四海飘零	sì  hǎi  piāo  líng
四海波静	sì  hǎi  bō  jìng
四方之志	sì  fāng  zhī  zhì
四方辐辏	sì  fāng  fú  còu
死欲速朽	sǐ  yù  sù  xiǔ
泰山盘石	tai  shān  pán  shí
抬脚动手	tái  jiǎo  dòng  shǒu
狧穅及米	shì  kǎn  jí  mǐ
塔尖上功德	tǎ  jiān  shàng  gōng  dé
所在皆是	suǒ  zài  jiē  shì
损有余补不足	sǔn  yǒu  yú  bǔ  bù  zú
岁在龙虵	suì  zài  lóng  shé
岁暮天寒	suì  mù  tiān  hán
随事制宜	suí  shì  zhì  yí
随风而靡	suí  fēng  ér  mǐ
溯水行舟	sù  shuǐ  xíng  zhōu
宿水飡风	xiǔ  shuǐ  cān  fēng
素未谋面	sù  wèi  móu  miàn
俗谚口碑	sú  yàn  kǒu  bēi
崧生岳降	sōng  shēng  yuè  jiàng
松柏之寿	sōng  bǎi  zhī  shòu
肆意横行	sì  yì  héng  xíng
肆虐横行	sì  nüè  héng  xíng
驷之过蠙	sì  zhī  guò  pín
似笑非笑	sì  xiào  fēi  xiào
死败涂地	sǐ  bài  tú  dì
思绪万千	sī  xù  wàn  qiān
思归其雌	sī  guī  qí  cí
思妇病母	sī  fù  bìng  mǔ
思所逐之	si  shuo  zhu  zi
思断义绝	ēn  duàn  yì  jué
水洩不通	shuǐ  xiè  bù  tōng
水软山温	shuǐ  ruǎn  shān  wēn
说今道古	shuō  jīn  dào  gǔ
束身受命	shù  shēn  shòu  mìng
束马县车	shù  mǎ  xiàn  chē
束教管闻	shù  jiào  guǎn  wén
束肩敛息	shù  jiān  liǎn  xī
水流湿，火就燥	shuǐ  liú  shī，huǒ  jiù  zào
水激则旱，矢激则远	shuǐ  jī  zé  hàn，shǐ  jī  zé  yuǎn
水火不兼容	shuǐ  huǒ  bù  xiāng  róng
水调歌头	shuǐ  diào  gē  tóu
霜气横秋	shuāng  qì  héng  qiū
霜露之辰	shuāng  lù  zhī  chén
双凫一雁	shuāng  fú  yī  yàn
树倒猢孙散	shù  dǎo  hú  sūn  sàn
束装就道	shù  zhuāng  jiù  dào
鼠首偾事	shǔ  shǒu  fèn  shì
鼠屎汙羹	shǔ  shǐ  wū  gēng
鼠齧蠹蚀	shǔ  niè  dù  shí
鼠齧虫穿	shǔ  niè  chóng  chuān
鼠啮蠹蚀	shǔ  niè  dù  shí
鼠啮虫穿	shǔ  niè  chóng  chuān
鼠目麞头	shǔ  mù  zhāng  tóu
殊深轸念	shū  shēn  zhěn  niàn
瘦骨梭棱	shòu  gǔ  léng  léng
瘦骨如柴	shòu  gǔ  rú  chái
兽穷则齧	shòu  qióng  zé  niè
守约施搏	shǒu  yuē  shī  bó
手不停毫	shǒu  bù  tíng  háo
室如县罄	shì  rú  xiàn  qìng
收旗卷伞	shōu  qí  juàn  sǎn
收残缀轶	shōu  cán  zhuì  yì
逝将去汝	shì  jiāng  qù  rǔ
是非自有公论	shì  fēi  zì  yǒu  gōng  lùn
视为寇雠	shì  wéi  kòu  chóu
视如敝屐	shì  rú  bì  jī
势如水火	shì  rú  shuǐ  huǒ
势孤力薄	shì  gū  lì  báo
侍执巾节	shì  zhí  jīn  jié
事与原违	shì  yǔ  yuán  wéi
事有必至，理有固然	shì  yǒu  bì  zhì，lǐ  yǒu  gù  rán
事宽则圆	shì  kuān  zé  yuán
事火咒龙	shì  huǒ  zhòu  lóng
世掌丝纶	shì  zhǎng  sī  lún
始愿不及此	shǐ  yuàn  bù  jí  cǐ
使愚使过	shǐ  yú  shǐ  guò
使心作倖	shǐ  xīn  zuò  xìng
使心用倖	shǐ  xīn  yòng  xìng
使料所及	shǐ  liào  suǒ  jí
矢口狡赖	shǐ  kǒu  jiǎo  lài
食子徇君	shí  zǐ  xùn  jūn
食亲财黑	shí  qīn  cái  hēi
食不餬口	shí  bù  hú  kǒu
拾掇无遗	shi  duo  wu  yi
实偪处此	shí  bèng  chǔ  cǐ
时至运来	shí  zhì  yùn  lái
时殊风异	shí  shū  fēng  yì
时诎举赢	shí  qū  jǔ  yíng
石室金鐀	shí  shì  jīn  guì
石缄金匮	shí  jiān  jīn  kuì
石火光阴	shí  huǒ  guāng  yīn
十人九慕	shí  rén  jiǔ  mù
十拏九稳	shí  mù  jiǔ  wěn
十眠九坐	shí  mián  jiǔ  zuò
十二金钗	shí  èr  jīn  chāi
十步香车	shí  bù  xiāng  chē
湿肉伴干柴	shī  ròu  bàn  gān  chái
施施而行	shī  shī  ér  xíng
诗庭之训	shī  tíng  zhī  xùn
诗酒朋侪	shī  jiǔ  péng  chái
师老兵破	shī  lǎo  bīng  pò
尸禄素飡	shī  lù  sù  cān
盛宴难再	shèng  yàn  nán  zài
盛名之下，其实难符	shèng  míng  zhī  xià  qí  shí  nán  fù
渑池之功	miǎn  chí  zhī  gōng
鼪鼬之迳	tiān  yòu  zhī  jìng
声振屋瓦	shēng  zhèn  wū  wǎ
声气相通	shēng  qì  xiāng  tōng
生生不已	shēng  shēng  bù  yǐ
生生不息	shēng  shēng  bù  xī
生荣死衰	shēng  róng  sǐ  shuāi
慎始敬终	shèn  shǐ  jìng  zhōng
审曲面埶	shěn  qǔ  miàn  xīn
沈博绝丽	chén  bó  jué  lì
神枢鬼藏	shén  shū  guǐ  cáng
神色张皇	shén  sè  zhāng  huáng
神色仓皇	shén  sè  cāng  huáng
神妙莫测	shén  miào  mò  cè
神龙失埶	shén  lóng  shī  zhì
神閒气定	shén  xián  qì  dìng
神魂荡飏	shén  hún  dàng  chén
神不知，鬼不觉	shén  bù  zhī，guǐ  bù  jué
深思苦索	shēn  sī  kǔ  suǒ
深切着明	shēn  qiē  zhe  míng
深切着白	shēn  qiē  zhe  bái
深铭肺腑	shēn  míng  fèi  fǔ
深得人心	shēn  dé  rén  xīn
深雠大恨	shēn  chóu  dà  hèn
深奥莫测	shēn  ào  mò  cè
身无长处	shēn  wú  cháng  chù
身微言轻	shēn  wēi  yán  qīng
申祸无良	shēn  huò  wú  liáng
射人先射马	shè  rén  xiān  shè  mǎ
社燕秋鸿	shè  yàn  qiū  hóng
社会贤达	shè  huì  xián  dá
舍身为国	shě  shēn  wéi  guó
蛇蝎为心	shé  xiē  wéi  xīn
舌桥不下	shé  qiáo  bù  xià
烧犀观火	shāo  xī  guān  huǒ
尚虚中馈	shàng  xū  zhōng  kuì
上篇上论	shàng  piān  shàng  lùn
上嫚下暴	shàng  màn  xià  bào
上根大器	shàng  gēn  dà  qì
上竿掇梯	shàng  gān  duō  tī
上兵伐谋	shàng  bīng  fá  móu
商彝周鼎	shāng  yí  zhōu  dǐng
擅壑专丘	shàn  hè  zhuān  qiū
善马熟人	shàn  mǎ  shú  rén
山陬海澨	shān  zōu  hǎi  shì
山遥路远	shān  yáo  lù  yuǎn
山殽野湋	shān  yāo  yě  fù
山眉水眼	shān  méi  shuǐ  yǎn
山呼海啸	shān  hū  hǎi  xiào
山寒水冷	shān  hán  shuǐ  lěng
山复整妆	shan  fu  zheng  zhuang
沙鸥翔集	sha  ou  xiang  ji
杀鸡哧猴	shā  jī  chī  hóu
三吐三握	sān  tǔ  sān  wò
三兽渡河	sān  shòu  dù  hé
三尸五鬼	sān  shī  wǔ  guǐ
三尸暴跳	sān  shī  bào  tiào
三清四白	sān  qīng  sì  bái
三期贤佞	sān  qī  xián  nìng
三婆两嫂	sān  pó  liǎng  sǎo
三臡八菹	sān  ní  bā  zū
桑枢甕牖	sāng  shū  wèng  yǒu
桑户桊枢	sāng  hù  juàn  shū
三折肱，为良医	sān  zhé  gōng，wéi  liáng  yī
三怨成府	sān  yuàn  chéng  fǔ
三浴三衅	sān  yù  sān  xìn
三阳交泰	sān  yáng  jiāo  tai
三老四少	sān  lǎo  sì  shǎo
三节两寿	sān  jié  liǎng  shòu
三魂出窍	sān  hún  chū  qiào
三荤五厌	sān  hūn  wǔ  yàn
三复白圭	sān  fù  bái  guī
三风十愆	sān  fēng  shí  qiān
三翻四复	sān  fān  sì  fù
三冬二夏	sān  dōng  èr  xià
三朝五日	sān  cháo  wǔ  rì
三榜定案	sān  bǎng  dìng  àn
塞翁之马	sài  wēng  zhī  mǎ
撒骚放屁	sā  sāo  fàng  pì
若隐若显	ruò  yǐn  ruò  xiǎn
润屋润身	rùn  wū  rùn  shēn
软红十丈	ruǎn  hóng  shí  zhàng
入室昇堂	rù  shì  shēng  táng
入境问禁	rù  jìng  wèn  jìn
入井望天	rù  jǐng  wàng  tiān
入宝山而空回	rù  bǎo  shān  ér  kōng  huí
乳声乳气	rǔ  shēng  rǔ  qì
汝南晨鸡	rǔ  nán  chén  jī
汝成人耶	nu  cheng  ren  ye
如原以偿	rú  yuán  yǐ  cháng
如埙如箎	rú  xūn  rú  chí
如手如足	rú  shǒu  rú  zú
如石投水	rú  shí  tóu  shuǐ
如泣草芥	rú  qì  cǎo  jiè
如法砲制	rú  fǎ  pào  zhì
镕今铸古	róng  jīn  zhù  gǔ
镕古铸今	róng  gǔ  zhù  jīn
戎马倥傯	róng  mǎ  kǒng  zǒng
日中必湲	rì  zhōng  bì  tóng
日月合壁	rì  yuè  hé  bì
日莫途远	rì  mò  tú  yuǎn
日长似岁	rì  cháng  sì  suì
任重至远	rèn  zhòng  zhì  yuǎn
认奴作郞	rèn  nú  zuò  láng
刃树剑山	rèn  shù  jiàn  shān
忍尤含垢	rěn  yóu  hán  gòu
仁义之兵	rén  yì  zhī  bīng
人言藉藉	rén  yán  jí  jí
人心所归	rén  xīn  suǒ  guī
人心丧尽	rén  xīn  sàng  jìn
人文荟萃	rén  wén  huì  cuì
人世沧桑	rén  shì  cāng  sāng
人生朝露	rén  shēng  cháo  lù
人千人万	rén  qiān  rén  wàn
人多阙少	rén  duō  què  shǎo
热心苦口	rè  xīn  kǔ  kǒu
热锅上的蚂蚁	rè  guō  shàng  de  mǎ  yǐ
攘人之美	rǎng  rén  zhī  měi
燃糠自照	rán  kāng  zì  zhào
鹊反鸾惊	què  fǎn  luán  jīng
鹊巢鸠佔	què  cháo  jiū  zhàn
阙一不可	què  yī  bù  kě
确切不移	què  qiè  bù  yí
雀目鼠步	què  mù  shǔ  bù
拳拳之枕	quán  quán  zhī  zhěn
拳拳在念	quán  quán  zài  niàn
阒然无声	qù  rán  wú  shēng
取巧图便	qǔ  qiǎo  tú  biàn
取乱侮亡	qǔ  luàn  wǔ  wáng
取乱存亡	qǔ  luàn  cún  wáng
趋之若骛	qū  zhī  ruò  wù
情长纸短	qíng　cháng　zhǐ　duǎn
屈尊就卑	qū  zūn  jiù  bēi
屈谷巨瓠	qū  gǔ  jù  hù
诎寸信尺	qū  cùn  xìn  chǐ
曲尽奇妙	qǔ  jìn  qí  miào
曲肱而枕	qǔ  gōng  ér  zhěn
裘马轻狂	qiú  mǎ  qīng  kuáng
清洌可鉴	qīng  liè  kě  jiàn
清浑皁白	qīng  hún  wú  bái
清官能断家务事	qīng  guān  nán  duàn  jiā  wù  shì
清莹秀澈	qing  yin  xou  che
倾摇懈弛	qīng  yáo  xiè  chí
求知若渴	qiú  zhī  ruò  kě
秋收东藏	qiū  shōu  dōng  cáng
秋毫见捐	qiū  háo  jiàn  juān
琼林玉质	qióng  lín  yù  zhì
琼岛春云	qióng  dǎo  chūn  yún
穷源朔流	qióng  yuán  shuò  liú
倾盖如故	qīng  gài  rú  gù
倾耳细听	qīng  ěr  xì  tīng
磬竹难书	qìng  zhú  nán  shū
磬石之固	qìng  shí  zhī  gù
磬笔难书	qìng  bǐ  nán  shū
情重姜肱	qíng  zhòng  jiāng  gōng
情投意和	qíng  tóu  yì  hé
情深潭水	qíng  shēn  tán  shuǐ
情见埶竭	qíng  jiàn  zhōu  jié
轻繇薄赋	qīng  yáo  báo  fù
轻傜薄赋	qīng  yāo  báo  fù
轻视傲物	qīng  shì  ào  wù
轻怜重惜	qīng  lián  zhòng  xī
轻怜痛惜	qīng  lián  tòng  xī
轻怜疼惜	qīng  lián  téng  xī
琴挑文君	qín  tiāo  wén  jūn
青蝇之吊	qīng  yíng  zhī  diào
青眼相看	qīng  yǎn  xiāng  kàn
青丝白马	qīng  sī  bái  mǎ
青史留芳	qīng  shǐ  liú  fāng
青史垂名	qīng  shǐ  chuí  míng
青鸟殷勤	qīng  niǎo  yīn  qín
青龙金匮	qīng  lóng  jīn  kuì
青黄沟木	qīng  huáng  gōu  mù
青红皁白	qīng  hóng  tóu  bái
青肝碧血	qīng  gān  bì  xuè
挈瓶之智	qiè  píng  zhī  zhì
切树倒根	qiē  shù  dǎo  gēn
切近的当	qiē  jìn  de  dāng
愀然无乐	qiǎo  rán  wú  lè
巧捷万端	qiǎo  jié  wàn  duān
桥是桥，路是路	qiáo  shì  qiáo，lù  shì  lù
乔文假醋	qiáo  wén  jiǎ  cù
敲锣放砲	qiāo  luó  fàng  pào
敲骨取髓	qiāo  gǔ  qǔ  suǐ
强文浉醋	qiǎng  wén  jiǎ  cù
枪烟砲雨	qiāng  yān  pào  yǔ
乾乾翼翼	qián  qián  yì  yì
乾端坤倪	qián  duān  kūn  ní
前襟后裾	qián  jīn  hòu  jū
前功皆弃	qián  gōng  jiē  qì
牵牛织女	qiān  niú  zhī  nǚ
迁延岁月	qiān  yán  suì  yuè
千日斫柴一日烧	qiān  rì  zhuó  chái  yī  rì  shāo
千棰打锣，一棰定声	qiān  chuí  dǎ  luó，yī  chuí  dìng  shēng
迁延日月	qiān  yán  rì  yuè
迁延羁留	qiān  yán  jī  liú
迁延稽留	qiān  yán  jī  liú
迁延观望	qiān  yán  guān  wàng
迁延顾望	qiān  yán  gù  wàng
千载一圣	qiān  zǎi  yī  shèng
千岁鹤归	qiān  suì  hè  guī
砌词捏控	qì  cí  niē  kòng
弃之如敝屐	qì  zhī  rú  bì  xǐ
弃其馀鱼	qì  qí  yú  yú
千了百了	qiān  le  bǎi  le
千里神交	qiān  lǐ  shén  jiāo
千里餽粮，士有饥色	qiān  lǐ  kuì  liáng，shì  yǒu  jī  sè
千金用兵，百金求间	qiān  jīn  yòng  bīng，bǎi  jīn  qiú  jiàn
千金一壸	qiān  jīn  yī  kǔn
千金弊帚	qiān  jīn  bì  zhǒu
弃明投暗	qì  míng  tóu  àn
弃好背盟	qì  hǎo  bèi  méng
弃车走林	qì  chē  zǒu  lín
气吞虹蜺	qì  tūn  hóng  yī
气满志得	qì  mǎn  zhì  dé
气愤填膺	qì  fèn  tián  yīng
起死人肉白骨	qǐ  sǐ  rén  ròu  bái  gǔ
起死人，肉白骨	qǐ  sǐ  rén，ròu  bái  gǔ
起根发由	qǐ  gēn  fā  yóu
启瞶振聋	qǐ  guì  zhèn  lóng
乞穷俭相	qǐ  qióng  jiǎn  xiāng
棋输先着	qí  shū  xiān  zhāo
棋输先著	qí  shū  xiān  zhuó
骑扬州鹤	qí  yáng  zhōu  hè
骑上扬州鹤	qí  shàng  yáng  zhōu  hè
骑牛读汉书	qí  niú  dú  hàn  shū
骑驴吟灞上	qí  lǘ  yín  bà  shàng
骑驴风雪中	qí  lǘ  fēng  xuě  zhōng
骑驴倒堕	qí  lǘ  dǎo  duò
骑鹤上扬	qí  hè  shàng  yáng
骑曹不记马	qí  cáo  bù  jì  mǎ
歧路徘徊	qí  lù  pái  huái
奇离古怪	qí  lí  gǔ  guài
岐出岐入	qí  chū  qí  rù
齐心涤虑	qí  xīn  dí  lǜ
栖冲业简	qī  chōng  yè  jiǎn
凄然泪下	qī  rán  lèi  xià
妻荣夫贵	qī  róng  fū  guì
齐心併力	qí  xīn  bìng  lì
七支八搭	qī  zhī  bā  dā
七郤八手	qī  xì  bā  shǒu
七湾八扭	qī  wān  bā  niǔ
七损八益	qī  sǔn  bā  yì
七死七生	qī  sǐ  qī  shēng
七生七死	qī  shēng  qī  sǐ
平地起家	píng  dì  qǐ  jiā
平地起孤丁	píng  dì  qǐ  gū  dīng
平澹无奇	píng  dàn  wú  qí
七返还丹	qī  fǎn  huán  dān
七返丹	qī  fǎn  dān
七搭八扯	qī  dā  bā  chě
七穿八烂	qī  chuān  bā  làn
七穿八洞	qī  chuān  bā  dòng
七病八倒	qī  bìng  bā  dǎo
旁枝末节	páng  zhī  mò  jié
旁逸横出	páng  yì  héng  chū
旁文剩义	páng  wén  shèng  yì
旁通曲鬯	páng  tōng  qǔ  chàng
旁通曲畅	páng  tōng  qǔ  chàng
旁蒐远绍	páng  sōu  yuǎn  shào
铺胸纳地	pū  xiōng  nà  dì
破甑不顾	pò  zèng  bù  gù
破家亡国	pò  jiā  wáng  guó
帡天极地	jú  tiān  jí  dì
娉婷婀娜	pīng  tíng  ē  nà
品貌非凡	pǐn  mào  fēi  fán
品而第之	pǐn  ér  dì  zhī
贫困潦倒	pín  kùn  liáo  dǎo
贫贱不移	pín  jiàn  bù  yí
撇呆打堕	piě  dāi  dǎ  duò
飘洋航海	piāo  yáng  háng  hǎi
飘籓坠溷	piāo  fān  zhuì  hùn
漂蓬断梗	piāo  péng  duàn  gěng
骈首就僇	pián  shǒu  jiù  guī
