龙肝麟脯	lóng gān lín fǔ
英雄辈出	yīng  xóng  bèi  chū
英声欺人	yīng  shēng  qī  rén
隐天蔽日	yǐn  tiān  bì  rì
隐占身体	yin  zhan  shen  qi
引以为憾	yǐn  yǐ  wéi  hàn
引以为耻	yǐn  yǐ  wéi  chǐ
引吭高声	yǐn　háng　gāo　shēng
引吭高唱	yǐn  háng  gāo  chàng
引吭悲歌	yǐn  háng  bēi  gē
引过自责	yǐn  guò  zì  zé
茵席之臣	yīn  xí  zhī  chén
阴山背后	yīn  shān  bèi  hòu
阴凝坚冰	yīn  níng  jiān  bīng
阴服微行	yīn  fú  wēi  xíng
翼翼飞鸾	yì  yì  fēi  luán
溢美之语	yì  měi  zhī  yǔ
意兴盎然	yì  xìng  àng  rán
意气高昂	yì  qì  gāo  áng
意乱心忙	yì  luàn  xīn  máng
易子而教	yì  zǐ  ér  jiào
亿兆一心	yì  zhào  yī  xīn
义正辞约	yì  zhèng  cí  yuē
义无旋踵	yì  wú  xuán  zhǒng
义不生财	yì  bù  shēng  cái
倚闾望切	yǐ  lǘ  wàng  qiē
以锥飡壸	yǐ  zhuī  cān  kǔn
以直抱怨	yǐ  zhí  bào  yuàn
以誉进能	yǐ  yù  jìn  néng
以噎废飡	yǐ  yē  fèi  guāng
以言徇物	yǐ  yán  xùn  wù
以学愈愚	yǐ  xué  yù  yú
以微知着	yǐ  wēi  zhī  zhù
以螳当车	yǐ  táng  dāng  chē
以身试险	yǐ  shēn  shì  xiǎn
以人择官	yǐ  rén  zé  guān
以强胜弱	yǐ  qiáng  shèng  ruò
以鹿为马	yǐ  lù  wéi  mǎ
以貍至鼠	yǐ  lí  zhì  shǔ
以狸致鼠、以冰致绳	yǐ  lí  zhì  shǔ、yǐ  bīng  zhì  shéng
以狸至鼠	yǐ  lí  zhì  shǔ
以简驭繁	yǐ  jiǎn  yù  fán
以计代战	yǐ  jì  dài  zhàn
以筦窥天	yǐ  guǎn  kuī  tiān
以古制今	yǐ  gǔ  zhì  jīn
以德追祸	yǐ  dé  zhuī  huò
以党举官	yǐ  dǎng  jǔ  guān
以大恶细	yǐ  dà  wù  xì
