怀里揣笊篱	捞心了 劳心了 心眼多 光捞那份心 光劳那份心 心眼不少 捞的哪份心 劳的哪份心
放屁带出屎	臭上加臭
老母猪爬楼梯	高攀 想高攀
花籽喂牲口	好料 不是好料
引线头上戳芝麻	勿容易
热石头浪蚂蚁	走投无路
阎王开店铺	做鬼的买卖
小孩装老虎	不吓人
唱戏拿鞭子	走人
驼背公挨雨淋	背湿 背时
斧头刮胡须	少见
裤腰带缠在脖子上	系错了 记错了
和尚坐火箭	突飞猛进 秃飞猛进
老鼠咬棺材	死的出不去,活的倒往里钻
蹲在茅坑里问香臭	明知故问
聋子地耳朵	摆式
堵窝捉鸟	拿个稳
飞机上挂水瓶	高水瓶 高水平
端着香炉打喷嚏	弄一脸灰 落了一脸灰
狗的牙齿	参差不齐
阎王老婆怀孕	心怀鬼胎
唱戏的打转	走过场
冷眼看螃蟹	看你横行到几时
老虎吃樱桃	馋红了眼
芋头轮流当母芋	不例外
鸟儿不落脚	爱飞
牵哈巴狗走路	跟腚了 定腚了
二五子炒菜	不是滋味
半路上杀出程咬金	突如其来
刘秀走国	到一处败一处
半夜起来回娘家	求日疯了
棍儿打王八	越打越缩脖
烧香抠尻子	惯使了手脚
卖西瓜的磨刀	傻瓜 杀瓜
眼皮上贴金	睁眼是钱
呼瘘包儿吐血	没得痰的 没得谈的
老牛撵兔子	有劲使不上 有劲儿使不上 有力无处使 有力使不出 有力追不上
西瓜掉到油篓里	滑蛋 大滑蛋 滑头滑脑 滑皮
从芦席上跌到地上	只差一点点
鼻子下面挂电灯	闻明 闻名
弹花匠的女儿	会弹不会纺 会谈不会访 只会弹,不会纺 只会谈,不会纺 只会谈 只会弹 会谈不会纺 会谈不会仿
大水冲崩关帝庙	慌了神
赔了夫人又折兵	双重损失 一举两失
南山的老鸹	白脖
麻雀搜糠	空欢喜
屎壳郎吃肉	昏头 荤头
无钱后才断赌	不济事
见了和尚喊姐夫	乱攀亲
苍蝇落在酒瓶里	没有出路
扁担插进桥眼儿里	担不起
老牛捡钱	没得啥用处
断了箍的木桶	散了架
腐朽的绳索	一冲而断
老鼠咬箱角	家贼难防
矿工上班	最底层
包公杀亲侄	先治其内 后治其外 先治其内,后治其外
三个钱摆两处	一是一,二是二
孔夫子写信	不起草稿 不打草稿
扫把写诗	好大话
提着葡萄要饭	穷酸
一篮虾倒在地上	活蹦乱跳
刺拐棒弹棉花	越整越乱
讨吃子偷碳锤	一圪溜儿
借着和尚骂贼秃	指桑骂槐
毛驴子拉车	埋头苦干
寡母婆	经不得媒劝 心不定
刘备报仇	因小失大
端公变的	乱跳坛
三人长的两根胡子	稀少
鲁班门前夸手艺	不知身份
油罐里打跟斗	胡闹 壶闹
秀才作医	如菜作齑
水银柱	不稳定 能上能下
天安门前的石狮子	明摆着 对摆着
冬水田种麦子	怪栽 怪哉
穿过胡同上大街	路子越走越宽
吃烧红苕的	喜欢吹捧拍
十五块布做的衣服	七拼八凑
丑仔做官	不成样
老和尚梦里接女人	想邪了心
两个老汉亲嘴	对呼 对胡
二十五个火把	好场合 好长火
茅缸里的石头	又臭又硬 臭硬 又硬又臭
针尖麦芒	各不相让 谁也不让谁
笼屉里取糠窝窝	手到勤拿
沙锅子倒蒜	一锤子买卖
山猫咧嘴	笑面虎
龙王摆筵席	净是海鲜 净尝海味儿
小虫落到牌坊上	头不大,架子不小
歪嘴上讲台	活现眼
蚧蛙跳门槛哩	既礅尻子又伤脸
三个小鬼拿不着他	比鬼还鬼
大虾炒鸡爪	蜷着腿,拱着腰 弓腰蜷腿 蜷着腿弓着腰 蜷腿带拱腰 抽筋带弯腰
打酥油的棒棒	直来直去 直进直出 直出直入
好心当作驴肝肺	不识好歹
耙红苕揩屁股	倒巴一陀
阎王老爷的布告	鬼话连篇
荞麦面见风	越来越硬
并底里扑腾	死不死,活不活
吃饱饭的粑粑	随便
棒槌轧勒木排里	轧大淘
老鼠掉到书箱子里	鸟文夹字 咬文嚼字
老马学蹿	跳不起来
巷道扛椽子	直来直去 直出直入 直进直出
石乌龟吃水	口勿饮肚 口不应肚 口勿应肚 心口不一 口不饮肚
红薯照镜子	体面苕
一排爆竹	连片带炸 连骗带诈 连鞭带炸 连编带诈
高粱秸拴骡子	拉倒
鸭屎瓜	表皮靓
庙里放炮	精神 惊神
黄鳝晒太阳	假死
釜中游鱼	不知死活 死活不知
属姜子牙的	能掐会算
和尚拜丈母	栖身何处 妻身何处 头一回 没遇着过 第一遭
柳条枝子穿王八	一个也跑不了
远路人趟水	不知深浅
瘫子赶强盗	坐着呼喊
草人讲话	口气不硬
二月二吃煎饼	闲磨 咸馍
谈今博	古 鼓
关公耍大刀	红脸上场 拿手好戏
小巴狗撵月亮	妄想 望享
春天打兔子	不是季节
木造火筒	事事不通
三脚砖头	摆不平
刀架心头上	忍了 忍吧
小孩子吹海螺	多、多、多
坐在盆上放屁	响不起 响不起来 想不起 想不起来
敲着空碗唱戏	穷开心
夜壶里炖萝卜	腌�H菜 真是不嫌腌�H
过了火的猪脑壳	焦头烂额
三岁小孩喝蜂蜜	里里外外甜透了
歪脖子拉小提琴	两全其美
羊粪蛋里掉个落花生	是个好仁 是个好人
鸡毛夹火炭	毛焦火辣的
豆腐渣垫鞋	不顶用 不顶事
金荡瓮老鼠	吃骨
人巴结有钱儿的,狗咬提篮儿的	小人一个
吃猪头不用筷	牙啃啃
板车拖稀饭	韵地足 运的粥
懒老婆坐轿	愿上不愿下
癞蛤蟆掉粪坑	不好开口 越搞越臭
心坎上挂笊篱	捞心了 劳心了 劳心 捞心 多劳这份心 多捞这份心
口吃橄榄	先苦后甜
桥顶上盖楼	上下空
酱园店里的糖生姜	外甜内辣
打场不用耢石	光棍 光磙
嘴里含灯草	说得轻巧
五月黄梅天	无情 无晴
络腮胡子吃麻糖	撒扯不开 撕扯不开
蘸着蜂蜜吃甘蔗	甜上加甜
歪嘴婆娘7大椒	假拉正
老太婆死脱大囡	无望 呒望
胸脯子挂笊篱	多劳 多捞
合闸的马达芯子	团团转
黄鼠狼吃天鹅肉	心高妄想
吃点退烧药	降降温
煎熬过的中药	要不得 全是渣滓
门背后头吃馍馍	自已哄自己
琉璃釉子	浮面儿 成不了多大气候
点灯跳水	无想死
死牢里的囚犯	谁也甭想出去 谁也别想出去
板凳上钻窟窿	有板眼 有板有眼
赶着老母猪打猎	送肉去
冬瓜烂囊	里面烂出
土地老挖耳朵	崴泥了
笼布才地	拉花花的
和尚吃猪肝,甲人知八利	心里自明
街浪相拍灰尘	全落勒众人眼里
城隍山上看火烧	幸灾乐祸
母鸡戴眼镜	冠小架子大 官小架子大
圩里张家的鳖	误了
游览全世界	见多识广
属麻花的	拧着劲儿 有点焦 有点脆 有点娇 欠搓
狗头上戴瓦罐	瞎碰
黄鳝毛做棉絮	办不到 没法办
猪八戒耍大刀	不顺手
屠宰场里的肥猪	末日来临了
癞蛤蟆骑水老鼠	假充马队的
省城的叫化子	口头高
哼木鱼撵鸭子	进口的货
整篓洒香油,满地拣芝麻	大处不算,小处算
山上喊话山下落	遥相呼应
屙屎打喷嚏	两头使劲 两头背时 两头蚀 两头背失 双舍
酱碗里的苍蝇	肮脏肉
武大郎的身材	不够尺寸
咸菜蘸大酱	太盐重了 太严重了 严重 盐重
卖了媳妇买大烟	上大瘾了
粗糠搓绳子	无法起手
新学的吹打手	拿不稳槌
金刚钻穿过钢铁板	过硬
旗杆顶上挂地雷	空响 空想
炉里的渣滓	有用的不多
老狼酗酒	受罪了 兽醉了
墙上画饼子	能看不能吃
隔门缝看人	扁看人
